question,option_a,option_b,option_c,option_d,correct_answer,category
Who sang 'Thriller'?,Prince,Michael Jackson,Stevie Wonder,Whitney Houston,B,Music
What is the freezing point of water in Fahrenheit?,0°F,32°F,100°F,212°F,B,Science
Which war was fought between the North and South in America?,Revolutionary War,Civil War,World War I,War of 1812,B,History
What is the most spoken language in the world?,English,Mandarin Chinese,Spanish,Hindi,B,Geography
Who discovered penicillin?,Louis Pasteur,Alexander Fleming,Joseph Lister,Robert Koch,B,Science
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C,Geography
Who is the best coder in Kwara state,Mark,Abdulmumeen,sydney,Ariana,B,Fact
Who is the richest man earth,Jeff bezos,Pharoah,Elon musk,Mark zuckerberg,C,Fact
What is the best anime in the world,Attack on titan,JJK,HunterxHunter,Naruto,A,ANIME
When a person dies what is the first organ to die,Heart,Brain,Kidney,Liver,A,Biology
Which of the following bacteria helps in Nitrogen fixation in plants,Rhizobium leguminosarium,Garium alcarado,Streptococcus,Bacillus,A,Agric
Which woman was the first to ride a car,Lady gaga,Chelsea green,Stephanie,Funmilayo kuti,D,History
Which country has the strongest military,U.S.A,France,Canada,Russia,A,History
Whp is the creator of Amazon,Abdulmumeen,Mark zukerberg,Jeff bezos,lon musk,C
Who is known as the King of Pop?,Elvis Presley,Michael Jackson,Chris Brown,Usher,B,Music
Which Afrobeats artist released Essence?,Davido,Burna Boy,Wizkid,Rema,C,Music
What instrument has 88 keys?,Guitar,Drum,Piano,Violin,C,Music
Which band released Abbey Road?,Queen,The Beatles,U2,Maroon 5,B,Music
Who is the lead singer of Coldplay?,Ed Sheeran,Chris Martin,Harry Styles,Bruno Mars,B,Music
Bob Marley is famous for which genre?,Hip-hop,Jazz,Reggae,Rock,C,Music
Who released the album 21?,Beyonce,Rihanna,Adele,Taylor Swift,C,Music
What does DJ stand for?,Disc Jockey,Dance Jam,Digital Jam,Drum Jockey,A,Music
Which country is the origin of K-pop?,Japan,China,South Korea,Thailand,C,Music
Who composed Fur Elise?,Mozart,Beethoven,Bach,Chopin,B,Music
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,B,History
When did World War II end?,1943,1944,1945,1950,C,History
Who built the pyramids in Egypt?,Romans,Greeks,Egyptians,Persians,C,History
Who was Nelson Mandela?,A soldier,A scientist,A South African leader,A musician,C,History
What wall fell in 1989?,China Wall,Berlin Wall,Roman Wall,Great Wall,B,History
Julius Caesar ruled which empire?,Greek Empire,Roman Empire,British Empire,Ottoman Empire,B,History
What was the Industrial Revolution?,War period,Farming period,Time of industrial growth,Religious movement,C,History
Which country colonized Nigeria?,France,Portugal,United Kingdom,Spain,C,History
Who discovered America in 1492?,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,Marco Polo,A,History
The French Revolution was about what?,Music,Science,Political change,Religious movement,C,History
What is the capital of Nigeria?,Lagos,Kano,Abuja,Ibadan,C,Geography
How many continents are there?,5,6,7,8,C,Geography
Which planet is called the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Science
What is the largest ocean?,Atlantic,Indian,Arctic,Pacific,D,Geography
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B,Literature
What gas do humans breathe in?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,B,Science
What is the fastest land animal?,Lion,Tiger,Cheetah,Horse,C,Nature
What currency is used in the United Kingdom?,Euro,Dollar,Pound Sterling,Yen,C,Geography
What is the boiling point of water?,50C,90C,100C,120C,C,Science
Which animal is called the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C,Nature
What is the capital of France?,Berlin,Madrid,Paris,Rome,C,Geography
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,Geography
Who wrote 'Romeo and Juliet'?,Charles Dickens,Mark Twain,William Shakespeare,Jane Austen,C,Literature
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,A,Science
How many continents are there?,5,6,7,8,C,Geography
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Science
What is the square root of 64?,6,7,8,9,C,Math
In which year did World War II end?,1941,1945,1939,1950,B,History
What is the smallest prime number?,0,1,2,3,C,Math
Which element has the atomic number 1?,Helium,Oxygen,Hydrogen,Carbon,C,Science
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C,Art
What is the longest river in the world?,Amazon,Nile,Mississippi,Yangtze,B,Geography
Which country hosted the first modern Olympic Games in 1896?,France,USA,Greece,Germany,C,History
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C,Science
Which organ is responsible for pumping blood?,Lungs,Brain,Liver,Heart,D,Science
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C,Geography
Who is known as the Father of Computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,B,Technology
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,B,Science
Which vitamin is primarily obtained from sunlight?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,D,Science
What is the functional unit of the kidney?,Nephron,Neuron,Alveoli,Villi,A,Science
In Greek mythology who is the god of the sea?,Zeus,Hades,Poseidon,Apollo,C,Mythology
Which treaty ended World War I?,Treaty of Paris,Treaty of Versailles,Treaty of Ghent,Treaty of Utrecht,B,History
What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,C,Science
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Gregor Mendel,B,Science
What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,D,Geography
Which planet has the most moons?,Saturn,Jupiter,Neptune,Uranus,A,Science
What is the speed of light in a vacuum?,150000 km/s,299792 km/s,450000 km/s,1000000 km/s,B,Science
How many bones are in the adult human body?,204,206,208,210,B,Science
Who was the first woman to win a Nobel Prize?,Mother Teresa,Marie Curie,Jane Addams,Rosalind Franklin,B,History
What is the term for a word that is the opposite of another?,Synonym,Antonym,Homonym,Acronym,B,Literature
Which programming language is known as the 'mother of all languages'?,C,Java,Assembly,Fortran,A,Technology
In physics what does the Heisenberg Uncertainty Principle state?,Energy is conserved,Momentum and position cannot both be known exactly,Gravity bends light,Entropy always increases,B,Science
Who developed the theory of General Relativity?,Isaac Newton,Niels Bohr,Albert Einstein,Max Planck,C,Science
What is the rarest blood type in humans?,O negative,B positive,AB negative,A positive,C,Science
Which empire was ruled by Mansa Musa?,Songhai,Mali,Ghana,Kush,B,History
What is the chemical formula for Glucose?,C6H12O6,C2H5OH,CH4,H2SO4,A,Science
Who composed the 'Moonlight Sonata'?,Mozart,Bach,Beethoven,Chopin,C,Music
What is the capital of Kazakhstan?,Almaty,Astana,Tashkent,Baku,B,Geography
Which particle in an atom has a neutral charge?,Proton,Electron,Neutron,Positron,C,Science
What is the largest desert in the world?,Sahara,Gobi,Antarctic,Kalahari,C,Geography
Who wrote 'The Wealth of Nations'?,John Maynard Keynes,Karl Marx,Adam Smith,Friedrich Hayek,C,History
In which country would you find the ruins of Petra?,Egypt,Jordan,Syria,Iraq,B,Geography
What is the primary component of natural gas?,Ethane,Propane,Butane,Methane,D,Science
Which scientist is credited with the laws of inheritance?,Charles Darwin,Gregor Mendel,James Watson,Francis Crick,B,Science
What is the name of the process by which cells divide into two identical daughter cells?,Meiosis,Mitosis,Binary Fission,Osmosis,B,Science
Who was the last Tsar of Russia?,Nicholas II,Alexander II,Peter the Great,Ivan the Terrible,A,History
What is the pH of pure water?,5,6,7,8,C,Science
Which literary character lives at 221B Baker Street?,Hercule Poirot,Sherlock Holmes,Arsene Lupin,James Bond,B,Literature
What is the capital of Canada?,Toronto,Montreal,Vancouver,Ottawa,D,Geography
Which artist painted 'The Starry Night'?,Claude Monet,Salvador Dali,Vincent van Gogh,Edvard Munch,C,Art
What is the value of the mathematical constant 'e' approximately?,2.718,3.141,1.618,1.414,A,Math
In which year was the Magna Carta signed?,1066,1215,1492,1776,B,History
What is the deepest point in the Earth's oceans?,Tonga Trench,Java Trench,Mariana Trench,Puerto Rico Trench,C,Geography
Who wrote 'Thus Spoke Zarathustra'?,Immanuel Kant,Friedrich Nietzsche,Arthur Schopenhauer,Jean-Paul Sartre,B,Philosophy
What is the main structural protein in human skin?,Keratin,Collagen,Elastin,Fibroin,B,Science
Which gas is produced as a byproduct of fermentation?,Oxygen,Nitrogen,Carbon Dioxide,Methane,C,Science
What is the largest moon of Saturn?,Titan,Ganymede,Europa,Callisto,A,Science
Who was the first person to reach the South Pole?,Robert Falcon Scott,Roald Amundsen,Ernest Shackleton,Richard Byrd,B,History
What is the most spoken native language in the world?,English,Spanish,Mandarin Chinese,Hindi,C,Geography
Which element has the symbol 'Au'?,Silver,Copper,Gold,Lead,C,Science
What is the study of fungi called?,Botany,Mycology,Phycology,Zoology,B,Science
In computer science what does SQL stand for?,Simple Query Language,Structured Query Language,System Query Logic,Standard Query List,B,Technology
Which African country was formerly known as Abyssinia?,Sudan,Ethiopia,Kenya,Nigeria,B,Geography
Who wrote the opera 'The Magic Flute'?,Verdi,Wagner,Mozart,Puccini,C,Music
What is the escape velocity of Earth?,7.9 km/s,11.2 km/s,15.1 km/s,42.1 km/s,B,Science
Which hormone is known as the 'fight or flight' hormone?,Insulin,Cortisol,Adrenaline,Dopamine,C,Science
In what year did the French Revolution begin?,1776,1789,1804,1812,B,History
What is the capital of Iceland?,Reykjavik,Oslo,Helsinki,Copenhagen,A,Geography
Which subatomic particle was discovered by J.J. Thomson?,Proton,Neutron,Electron,Quark,C,Science
Who is the author of 'One Hundred Years of Solitude'?,Jorge Luis Borges,Gabriel García Márquez,Pablo Neruda,Isabel Allende,B,Literature
What is the largest internal organ in the human body?,Heart,Lungs,Liver,Pancreas,C,Science
Which battle is often considered the turning point of the American Civil War?,Antietam,Gettysburg,Bull Run,Shiloh,B,History
What is the SI unit of electric resistance?,Volt,Ampere,Ohm,Watt,C,Science
Which constellation contains the 'Big Dipper'?,Orion,Ursa Major,Cassiopeia,Cygnus,B,Science
What is the name of the supercontinent that existed 200 million years ago?,Laurasia,Gondwana,Pangaea,Rodinia,C,Geography
Who was the prime minister of the UK during most of WWII?,Neville Chamberlain,Winston Churchill,Clement Attlee,Anthony Eden,B,History
What is the chemical symbol for Tin?,Ti,Tn,Sn,Pb,C,Science
Which layer of the Earth is liquid?,Crust,Mantle,Outer Core,Inner Core,C,Science
What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,C,Geography
